﻿Instruction1.keys,Instruction1.rt,Instruction2.keys,Instruction2.rt,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_01.ran,Words,ans,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_02.ran,Words_ipn,ans_ipn,key_resp_4.keys,key_resp_4.rt,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Practice_T1.ran,Words_t1,ans_t1,key_resp_5.keys,key_resp_5.rt,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Formal_T1.ran,key_resp_6.keys,key_resp_6.rt,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_iso_Reverse.ran,key_resp_7.keys,key_resp_7.rt,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,key_resp_t2_Practice.rt,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,Practice_t2_Reverse.ran,Words_t2,ans_t2,key_resp_8.keys,key_resp_8.rt,key_resp_t2.keys,key_resp_t2.corr,key_resp_t2.rt,Formal_t2_reverse.thisRepN,Formal_t2_reverse.thisTrialN,Formal_t2_reverse.thisN,Formal_t2_reverse.thisIndex,Formal_t2_reverse.ran,key_instruct.keys,key_instruct.rt
space,2.2685,space,5.2932,e,1,0.6093,0,0,0,2,1,我们,e,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.4259,0,1,1,1,1,我的,e,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.3575,0,2,2,5,1,他,i,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.5414,0,3,3,9,1,其他,i,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.6144,0,4,4,4,1,俺,e,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.5172,0,5,5,8,1,他人,i,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.5159,0,6,6,0,1,我,e,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.4761,0,7,7,3,1,自己,e,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.4004,0,8,8,7,1,他的,i,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.3799,0,9,9,6,1,他们,i,1,001,2024-08-23_19h38.02.637,IAT(Formal),2021.2.3,Win32,120.875136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
